title,link,last,first,district,party,phone_num,email,img_link,id
Representative,/legislators/justin-everett,Everett,Justin,22,Republican,303-866-2927,justin.everett.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_everett-co-15.jpg?itok=TruPPoB3,RepEverett22
Representative,/legislators/tony-exum-sr,Exum,Tony,17,Democrat,303-866-3069,tony.exum.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_exum-co-17.jpg?itok=BAz9Yygu,RepExum17
Senator,/legislators/stephen-fenberg,Fenberg,Stephen,18,Democrat,303-866-4872,stephen.fenberg.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_fenberg-co-17.jpg?itok=m9sVMgOg,SenFenberg18
Senator,/legislators/rhonda-fields,Fields,Rhonda,29,Democrat,303-866-4879,rhonda.fields.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_fields-co-17.jpg?itok=NZ885Ux1,SenFields29
Representative,/legislators/mike-foote,Foote,Mike,12,Democrat,303-866-2920,mike.foote.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_foote-co-17.jpg?itok=XVGfigl7,RepFoote12
Senator,/legislators/leroy-m-garcia-jr,Garcia,Leroy,3,Democrat,303-866-4878,leroy.garcia.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_s-garcia%2C%20leroy.jpg?itok=R636cvVe,SenGarcia3
Senator,/legislators/bob-gardner,Gardner,Bob,12,Republican,303-866-4880,bob.gardner.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_gardner-co-17.jpg?itok=Szs8CoL7,SenGardner12
Representative,/legislators/alec-garnett,Garnett,Alec,2,Democrat,303-866-2911,alec.garnett.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_garnett-co-17.jpg?itok=uwR0p2IS,RepGarnett2
Representative,/legislators/joann-ginal,Ginal,Joann,52,Democrat,303-866-4569,joannginal@yahoo.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_ginal-co-17.jpg?itok=rg01mgi5,RepGinal52
Senator,/legislators/kevin-j-grantham,Grantham,Kevin,2,Republican,303-866-4877,kevin.grantham.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_grantham.jpg?itok=D5Y5i4MY,SenGrantham2
Representative,/legislators/matt-gray,Gray,Matt,33,Democrat,303-866-4667,matt@matthewgray.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_gray-co-17.jpg?itok=1fstE2Kv,RepGray33
Senator,/legislators/lucia-guzman,Guzman,Lucia,34,Democrat,303-866-4862,lucia.guzman.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_guzman-co-17.jpg?itok=wxgGlnl2,SenGuzman34
Representative,/legislators/millie-hamner,Hamner,Millie,61,Democrat,303-866-2952,rephamner@gmail.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_hamner-co-17.jpg?itok=fVh61CjX,RepHamner61
Representative,/legislators/chris-hansen,Hansen,Chris,6,Democrat,303-866-2967,chris.hansen.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_hansen-co-17.jpg?itok=TtlOzE2U,RepHansen6
Representative,/legislators/leslie-herod,Herod,Leslie,8,Democrat,303-866-2959,leslie.herod.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_herod-co-17.jpg?itok=plXxMhIY,RepHerod8
Senator,/legislators/owen-hill,Hill,Owen,10,Republican,303-866-2737,owen.hill.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_hill-co-17.jpg?itok=-wkltSd_,SenHill10
Senator,/legislators/chris-holbert,Holbert,Chris,30,Republican,303-866-4881,chris.holbert.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_holbert-co-17.jpg?itok=9DDx-oPQ,SenHolbert30
Representative,/legislators/edie-hooton,Hooton,Edie,10,Democrat,303-866-2915,edie.hooton.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_hooton-co-17.jpg?itok=6N87z25C,RepHooton10
Representative,/legislators/stephen-humphrey,Humphrey,Stephen,48,Republican,303-866-2943,rephumphrey48@yahoo.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_humphrey-co-17.jpg?itok=bXKFzgmz,RepHumphrey48
Representative,/legislators/dominique-jackson,Jackson,Dominique,42,Democrat,303-866-3911,dominique.jackson.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_jackson-co-17.jpg?itok=yaBnFiej,RepJackson42
Senator,/legislators/cheri-jahn,Jahn,Cheri ,20,Unaffiliated,303-866-4856,cheri.jahn.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_jahn-co-17.jpg?itok=vA7f92bX,SenJahn20
Senator,/legislators/matt-jones,Jones,Matt,17,Democrat,303-866-5291,senatormattjones@gmail.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_jones-co-17.jpg?itok=IAc_0aEl,SenJones17
Senator,/legislators/daniel-kagan,Kagan,Daniel,26,Democrat,303-866-4846,senatordanielkagan@gmail.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_kagan-co-17.jpg?itok=xR5GUS1R,SenKagan26
Senator,/legislators/john-kefalas,Kefalas,John,14,Democrat,303-866-4841,john.kefalas.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_s-kefalas%2C%20john.jpg?itok=MKK3cMfE,SenKefalas14
Representative,/legislators/chris-kennedy,Kennedy,Chris,23,Democrat,303-866-2951,chris.kennedy.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_kennedy-co-17.jpg?itok=9tRxFCT3,RepKennedy23
Senator,/legislators/andy-kerr,Kerr,Andy,22,Democrat,303-866-4859,SenatorAndyKerr@gmail.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_kerr-co-17.jpg?itok=TYA0L-BL,SenKerr22
Representative,/legislators/tracy-kraft-tharp,Kraft-Tharp,Tracy,29,Democrat,303-866-2950,reptracy29@gmail.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_kraft-tharp-c-17.jpg?itok=rSvuyKcr,RepKraft-Tharp29
Senator,/legislators/kent-d-lambert,Lambert,Kent,9,Republican,303-866-4835,senatorlambert@comcast.net,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_lambert-co-17.jpg?itok=bTv0rGGK,SenLambert9
Representative,/legislators/lois-landgraf,Landgraf,Lois,21,Republican,303-866-2946,lois.landgraf.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_landgraf-c-17.jpg?itok=pewaRwPq,RepLandgraf21
Representative,/legislators/polly-lawrence,Lawrence,Polly,39,Republican,303-866-2935,polly.lawrence.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_lawrence-co-17.jpg?itok=b2-EgbCS,RepLawrence39
Representative,/legislators/pete-lee,Lee,Pete,18,Democrat,303-866-2932,pete.lee.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_lee-co-17.jpg?itok=xUslw-MB,RepLee18
Representative,/legislators/timothy-leonard,Leonard,Timothy,25,Republican,303-866-2582,tim.leonard.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_leonard-co-17.jpg?itok=po_QlVR7,RepLeonard25
Representative,/legislators/kimmi-lewis,Lewis,Kimmi,64,Republican,303-866-2398,kimmi.lewis.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_lewis-co-17.jpg?itok=PW_90ZHJ,RepLewis64
Representative,/legislators/larry-liston,Liston,Larry,16,Republican,303-866-2937,larry.liston.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_liston-co-17.jpg?itok=wU3y2Van,RepListon16
Representative,/legislators/susan-lontine,Lontine,Susan,1,Democrat,303-866-2966,susan.lontine.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_lontine-co-17.jpg?itok=6IbkapD2,RepLontine1
Senator,/legislators/kevin-lundberg,Lundberg,Kevin,15,Republican,303-866-4853,kevin@kevinlundberg.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_lundberg-co-17.jpg?itok=7RvI3oMC,SenLundberg15
Representative,/legislators/paul-lundeen,Lundeen,Paul,19,Republican,303-866-2924,paul.lundeen.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_lundeen-co-17.jpg?itok=c-OFvapt,RepLundeen19
Senator,/legislators/vicki-marble,Marble,Vicki,23,Republican,303-866-4876,vicki.marble.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_s-marble%2C%20vicki.jpg?itok=gH_sN_XN,SenMarble23
Senator,/legislators/beth-martinez-humenik,Martinez Humenik,Beth,24,Republican,303-866-4863,beth.martinezhumenik.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_martinez_humenik-co-17.jpg?itok=PLs4T-is,SenMartinez Humenik24
Representative,/legislators/hugh-mckean,McKean,Hugh,51,Republican,303-866-2947,hugh.mckean.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_mckean-co-17.jpg?itok=ZUm8UlLS,RepMcKean51
Representative,/legislators/barbara-mclachlan,McLachlan,Barbara,59,Democrat,303-866-2914,barbara.mclachlan.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_mclachlan-co-17.jpg?itok=VnnEiNRM,RepMcLachlan59
Representative,/legislators/jovan-melton,Melton,Jovan,41,Democrat,303-866-2919,jovan.melton.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_melton-co-17.jpg?itok=IszgAPL3,RepMelton41
Senator,/legislators/michael-merrifield,Merrifield,Michael,11,Democrat,303-866-6364,michael.merrifield.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_s-merrifield%2C%20michael.jpg?itok=41_3WY36,SenMerrifield11
Representative,/legislators/dafna-michaelson-jenet,Michaelson Jenet,Dafna,30,Democrat,303-866-2945,dafna.michaelson.jenet.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_michaelson_jenet-co-17.jpg?itok=TPdtl5J2,RepMichaelson Jenet30
Senator,/legislators/dominick-moreno,Moreno,Dominick,21,Democrat,303-866-4857,dominick.moreno.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_moreno-co-17.jpg?itok=KGpsucZt,SenMoreno21
Representative,/legislators/patrick-neville,Neville,Patrick,45,Republican,303-866-5523,patrick.neville.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_nevillep-co-17.jpg?itok=wg1chcnL,RepNeville45
Senator,/legislators/tim-neville,Neville,Tim,16,Republican,303-866-4873,tim.neville.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_nevilletim-co-17.jpg?itok=5V-Kf9fh,SenNeville16
Representative,/legislators/dan-pabon,Pabon,Dan,4,Democrat,303-866-2954,dan.pabon.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_pabon-co-17.jpg?itok=bCRtYt5h,RepPabon4
Representative,/legislators/brittany-pettersen,Pettersen,Brittany,28,Democrat,303-866-2939,brittany.pettersen.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_pettersen-co-17.jpg?itok=Sf33p1r8,RepPettersen28
Senator,/legislators/kevin-priola,Priola,Kevin,25,Republican,303-866-4855,kpriola@gmail.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_priola-co-17.jpg?itok=YKAUvESI,SenPriola25
Representative,/legislators/bob-rankin,Rankin,Bob,57,Republican,303-866-2949,bob.rankin.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_rankin-c-17.jpg?itok=9adePs6f,RepRankin57
Representative,/legislators/kim-ransom,Ransom,Kim,44,Republican,303-866-2933,kim.ransom.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_ransom-co-17.jpg?itok=L5TFc_HC,RepRansom44
Representative,/legislators/judy-k-reyher,Reyher,Judy,47,Republican,303-866-2905,judy.reyher.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_jreyher.jpg?itok=NVL9ATKd,RepReyher47
Representative,/legislators/dylan-roberts,Roberts,Dylan,26,Democrat,303-866-2923,dylan.roberts.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_droberts.jpg?itok=yacIzp6v,RepRoberts26
Representative,/legislators/paul-rosenthal,Rosenthal,Paul,9,Democrat,303-866-2910,paulrosenthal5280@gmail.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_rosenthal-co-17.jpg?itok=nELX5lKv,RepRosenthal9
Representative,/legislators/lori-saine,Saine,Lori,63,Republican,303-866-2906,lori.saine.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_saine-co-15.jpg?itok=SFzUfDz4,RepSaine63
Representative,/legislators/joseph-salazar,Salazar,Joseph,31,Democrat,303-866-2918,joseph.salazar.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_salazar-co-17.jpg?itok=Z8NfsAVV,RepSalazar31
Representative,/legislators/shane-sandridge,Sandridge,Shane,14,Republican,303-866-2965,shane.sandridge.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_ssandridge.jpg?itok=N74di2rN,RepSandridge14
Senator,/legislators/ray-scott,Scott,Ray,7,Republican,303-866-3077,ray.scott.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_scott-co-17.jpg?itok=WrYSLBzD,SenScott7
Representative,/legislators/lang-sias,Sias,Lang,27,Republican,303-866-2962,lang.sias.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_sias-co-17.jpg?itok=BZr9IO5e,RepSias27
Representative,/legislators/jonathan-singer,Singer,Jonathan,11,Democrat,303-866-2780,jonathan.singer.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_singer-co-17.jpg?itok=KF_qV1tj,RepSinger11
Senator,/legislators/jim-smallwood,Smallwood,Jim,4,Republican,303-866-4869,senatorsmallwood@gmail.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_smallwood-co-17.jpg?itok=c9wlAcuZ,SenSmallwood4
Senator,/legislators/jerry-sonnenberg,Sonnenberg,Jerry,1,Republican,303-866-6360,senatorsonnenberg@gmail.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_sonnenberg-co-17.jpg?itok=dLQzfKEz,SenSonnenberg1
Senator,/legislators/jack-tate,Tate,Jack,27,Republican,303-866-4883,jack.tate.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_tate-co-17.jpg?itok=c-lvVRMV,SenTate27
Representative,/legislators/dan-thurlow,Thurlow,Dan,55,Republican,303-866-3068,danthurlow55@gmail.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_thurlow-co-17.jpg?itok=NtAAyo7J,RepThurlow55
Senator,/legislators/nancy-todd,Todd,Nancy,28,Democrat,303-866-3432,nancy.todd.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_todd-co-17.jpg?itok=_h51gyXW,SenTodd28
Representative,/legislators/donald-valdez,Valdez,Donald,62,Democrat,303-866-2916,donald.valdez.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_valdez-co-17.jpg?itok=mLOEjazc,RepValdez62
Representative,/legislators/kevin-van-winkle,Van Winkle,Kevin,43,Republican,303-866-2936,kevin.vanwinkle.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_vanwinkle-co-17.jpg?itok=PFGbxzPC,RepVan Winkle43
Representative,/legislators/mike-weissman,Weissman,Mike,36,Democrat,303-866-2942,mike.weissman.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_weissman-co-17.jpg?itok=AKqlonZ7,RepWeissman36
Representative,/legislators/yeulin-willett,Willett,Yeulin,54,Republican,303-866-2583,yeulin.willett.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_willett-co-15.jpg?itok=TzCCVvun,RepWillett54
Senator,/legislators/angela-williams,Williams,Angela,33,Democrat,303-866-4864,angela.williams.senate@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_williamsangela-co-17.jpg?itok=jLorWT3z,SenWilliams33
Representative,/legislators/dave-williams,Williams,Dave,15,Republican,303-866-5525,dave.williams.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_williams-co-17.jpg?itok=uqx3Ec23,RepWilliams15
Representative,/legislators/james-d-wilson,Wilson,James,60,Republican,303-866-2747,representativewilson@gmail.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_wilson-co-17.jpg?itok=G1ZG_S3K,RepWilson60
Representative,/legislators/alexander-skinny-winkler,Winkler,"Alexander ""Skinny""",34,Republican,303-866-2931,alexander.winkler.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_alex_winkler.jpg?itok=7THXn5JT,RepWinkler34
Representative,/legislators/faith-winter,Winter,Faith,35,Democrat,303-866-2843,faith.winter.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_winter-co-17.jpg?itok=lXe6dNx_,RepWinter35
Representative,/legislators/cole-wist,Wist,Cole,37,Republican,303-866-5510,cole.wist.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_h-wist_cole_add_2016.jpg?itok=vU1LOP3W,RepWist37
Representative,/legislators/dave-young,Young,Dave,50,Democrat,303-866-2929,dave.young.house@state.co.us,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_young-co-17.jpg?itok=U-BZUl-d,RepYoung50
Senator,/legislators/rachel-zenzinger,Zenzinger,Rachel,19,Democrat,303-866-4840,senatorrachelz@gmail.com,https://leg.colorado.gov/sites/default/files/styles/width_300/public/2018a_rsz_zenzinger-co-17.jpg?itok=7htzvNly,SenZenzinger19
